/usr/share/Modules/bin:/lsf/local/bin/:/lsf/10.1/linux3.10-glibc2.17-x86_64/etc:/lsf/10.1/linux3.10-glibc2.17-x86_64/bin:/appl9/latex/TexLive24/bin/x86_64-linux:/appl/Modules/4.8.0/bin:/apps9/dcc/bin:/usr/bin:/bin:/usr/local/bin:/opt/puppetlabs/bin:.
/work3/mtaho/PhD/fenitop/scripts
Start time:
Tue Feb 25 07:48:52 CET 2025
No. of cores = 64
No. of processes = 64
No. of OMP threads = 1
opt_iter: 1, opt_time: 6.51 (s), beta: 1, C: 1443.465, V: 0.071, U: 0.000, change: 0.020
opt_iter: 2, opt_time: 4.1 (s), beta: 1, C: 758.201, V: 0.080, U: 0.000, change: 0.020
opt_iter: 3, opt_time: 4.02 (s), beta: 1, C: 518.241, V: 0.080, U: 0.000, change: 0.020
opt_iter: 4, opt_time: 4.1 (s), beta: 1, C: 392.776, V: 0.080, U: 0.000, change: 0.020
opt_iter: 5, opt_time: 4.19 (s), beta: 1, C: 313.331, V: 0.080, U: 0.000, change: 0.020
opt_iter: 6, opt_time: 4.3 (s), beta: 1, C: 257.253, V: 0.080, U: 0.000, change: 0.020
opt_iter: 7, opt_time: 4.35 (s), beta: 1, C: 214.587, V: 0.080, U: 0.000, change: 0.020
opt_iter: 8, opt_time: 4.27 (s), beta: 1, C: 180.862, V: 0.080, U: 0.000, change: 0.020
opt_iter: 9, opt_time: 4.37 (s), beta: 1, C: 153.732, V: 0.080, U: 0.000, change: 0.020
opt_iter: 10, opt_time: 4.83 (s), beta: 1, C: 131.963, V: 0.080, U: 0.000, change: 0.020
opt_iter: 11, opt_time: 4.73 (s), beta: 1, C: 114.570, V: 0.080, U: 0.000, change: 0.020
opt_iter: 12, opt_time: 4.87 (s), beta: 1, C: 100.713, V: 0.080, U: 0.000, change: 0.020
opt_iter: 13, opt_time: 4.99 (s), beta: 1, C: 89.612, V: 0.080, U: 0.000, change: 0.020
opt_iter: 14, opt_time: 5.1 (s), beta: 1, C: 80.635, V: 0.080, U: 0.000, change: 0.020
opt_iter: 15, opt_time: 5.23 (s), beta: 1, C: 73.286, V: 0.080, U: 0.000, change: 0.020
opt_iter: 16, opt_time: 5.43 (s), beta: 1, C: 67.204, V: 0.080, U: 0.000, change: 0.020
