/usr/share/Modules/bin:/lsf/local/bin/:/lsf/10.1/linux3.10-glibc2.17-x86_64/etc:/lsf/10.1/linux3.10-glibc2.17-x86_64/bin:/appl9/latex/TexLive24/bin/x86_64-linux:/appl/Modules/4.8.0/bin:/apps9/dcc/bin:/usr/bin:/bin:/usr/local/bin:/opt/puppetlabs/bin:.
/work3/mtaho/PhD/fenitop/scripts
Start time:
Wed Feb 26 11:28:38 CET 2025
No. of cores = 96
No. of processes = 96
No. of OMP threads = 1
opt_iter: 1, opt_time: 39.1 (s), beta: 1, C: 1450.248, V: 0.071, U: 0.000, change: 0.020
opt_iter: 2, opt_time: 24.8 (s), beta: 1, C: 761.604, V: 0.080, U: 0.000, change: 0.020
opt_iter: 3, opt_time: 23.8 (s), beta: 1, C: 520.154, V: 0.080, U: 0.000, change: 0.020
opt_iter: 4, opt_time: 25.2 (s), beta: 1, C: 393.919, V: 0.080, U: 0.000, change: 0.020
opt_iter: 5, opt_time: 27.4 (s), beta: 1, C: 314.026, V: 0.080, U: 0.000, change: 0.020
opt_iter: 6, opt_time: 27.6 (s), beta: 1, C: 257.681, V: 0.080, U: 0.000, change: 0.020
opt_iter: 7, opt_time: 29 (s), beta: 1, C: 214.844, V: 0.080, U: 0.000, change: 0.020
opt_iter: 8, opt_time: 29.5 (s), beta: 1, C: 181.012, V: 0.080, U: 0.000, change: 0.020
opt_iter: 9, opt_time: 28 (s), beta: 1, C: 153.818, V: 0.080, U: 0.000, change: 0.020
opt_iter: 10, opt_time: 28.9 (s), beta: 1, C: 132.009, V: 0.080, U: 0.000, change: 0.020
opt_iter: 11, opt_time: 32.4 (s), beta: 1, C: 114.591, V: 0.080, U: 0.000, change: 0.020
opt_iter: 12, opt_time: 34.4 (s), beta: 1, C: 100.716, V: 0.080, U: 0.000, change: 0.020
opt_iter: 13, opt_time: 35.6 (s), beta: 1, C: 89.600, V: 0.080, U: 0.000, change: 0.020
opt_iter: 14, opt_time: 36.8 (s), beta: 1, C: 80.608, V: 0.080, U: 0.000, change: 0.020
opt_iter: 15, opt_time: 38 (s), beta: 1, C: 73.248, V: 0.080, U: 0.000, change: 0.020
opt_iter: 16, opt_time: 38.9 (s), beta: 1, C: 67.154, V: 0.080, U: 0.000, change: 0.020
opt_iter: 17, opt_time: 39.7 (s), beta: 1, C: 62.051, V: 0.080, U: 0.000, change: 0.020
opt_iter: 18, opt_time: 41.2 (s), beta: 1, C: 57.729, V: 0.080, U: 0.000, change: 0.020
opt_iter: 19, opt_time: 42.4 (s), beta: 1, C: 54.031, V: 0.080, U: 0.000, change: 0.020
opt_iter: 20, opt_time: 42.7 (s), beta: 1, C: 50.835, V: 0.080, U: 0.000, change: 0.020
opt_iter: 21, opt_time: 43.2 (s), beta: 1, C: 48.049, V: 0.080, U: 0.000, change: 0.020
opt_iter: 22, opt_time: 44.2 (s), beta: 1, C: 45.601, V: 0.080, U: 0.000, change: 0.020
opt_iter: 23, opt_time: 45 (s), beta: 1, C: 43.435, V: 0.080, U: 0.000, change: 0.020
opt_iter: 24, opt_time: 45 (s), beta: 1, C: 41.504, V: 0.080, U: 0.000, change: 0.020
opt_iter: 25, opt_time: 45.5 (s), beta: 1, C: 39.774, V: 0.080, U: 0.000, change: 0.020
opt_iter: 26, opt_time: 44.4 (s), beta: 1, C: 38.214, V: 0.080, U: 0.000, change: 0.020
opt_iter: 27, opt_time: 43.1 (s), beta: 1, C: 36.801, V: 0.080, U: 0.000, change: 0.020
opt_iter: 28, opt_time: 43.2 (s), beta: 1, C: 35.515, V: 0.080, U: 0.000, change: 0.020
opt_iter: 29, opt_time: 43.4 (s), beta: 1, C: 34.340, V: 0.080, U: 0.000, change: 0.020
opt_iter: 30, opt_time: 43 (s), beta: 1, C: 33.261, V: 0.080, U: 0.000, change: 0.020
opt_iter: 31, opt_time: 43.6 (s), beta: 1, C: 32.268, V: 0.080, U: 0.000, change: 0.020
opt_iter: 32, opt_time: 45 (s), beta: 1, C: 31.351, V: 0.080, U: 0.000, change: 0.020
opt_iter: 33, opt_time: 47.4 (s), beta: 1, C: 30.500, V: 0.080, U: 0.000, change: 0.020
opt_iter: 34, opt_time: 47.9 (s), beta: 1, C: 29.709, V: 0.080, U: 0.000, change: 0.020
opt_iter: 35, opt_time: 48.8 (s), beta: 1, C: 28.972, V: 0.080, U: 0.000, change: 0.020
opt_iter: 36, opt_time: 50.5 (s), beta: 1, C: 28.282, V: 0.080, U: 0.000, change: 0.020
opt_iter: 37, opt_time: 51.1 (s), beta: 1, C: 27.636, V: 0.080, U: 0.000, change: 0.020
opt_iter: 38, opt_time: 51.9 (s), beta: 1, C: 27.029, V: 0.080, U: 0.000, change: 0.020
opt_iter: 39, opt_time: 52.2 (s), beta: 1, C: 26.457, V: 0.080, U: 0.000, change: 0.020
opt_iter: 40, opt_time: 52.9 (s), beta: 1, C: 25.918, V: 0.080, U: 0.000, change: 0.020
opt_iter: 41, opt_time: 53.6 (s), beta: 1, C: 25.407, V: 0.080, U: 0.000, change: 0.020
opt_iter: 42, opt_time: 54.5 (s), beta: 1, C: 24.923, V: 0.080, U: 0.000, change: 0.020
opt_iter: 43, opt_time: 55.1 (s), beta: 1, C: 24.462, V: 0.080, U: 0.000, change: 0.020
opt_iter: 44, opt_time: 55.2 (s), beta: 1, C: 24.024, V: 0.080, U: 0.000, change: 0.020
opt_iter: 45, opt_time: 55.8 (s), beta: 1, C: 23.605, V: 0.080, U: 0.000, change: 0.020
opt_iter: 46, opt_time: 56.4 (s), beta: 1, C: 23.203, V: 0.080, U: 0.000, change: 0.020
opt_iter: 47, opt_time: 57.1 (s), beta: 1, C: 22.817, V: 0.080, U: 0.000, change: 0.020
opt_iter: 48, opt_time: 56.6 (s), beta: 1, C: 22.608, V: 0.080, U: 0.000, change: 0.020
opt_iter: 49, opt_time: 57.2 (s), beta: 1, C: 22.430, V: 0.080, U: 0.000, change: 0.020
opt_iter: 50, opt_time: 62.8 (s), beta: 2, C: 26.806, V: 0.069, U: 0.000, change: 0.020
opt_iter: 51, opt_time: 61.4 (s), beta: 2, C: 23.341, V: 0.074, U: 0.000, change: 0.020
opt_iter: 52, opt_time: 59.3 (s), beta: 2, C: 20.286, V: 0.079, U: 0.000, change: 0.020
opt_iter: 53, opt_time: 59.3 (s), beta: 2, C: 19.478, V: 0.080, U: 0.000, change: 0.020
opt_iter: 54, opt_time: 59.4 (s), beta: 2, C: 19.139, V: 0.080, U: 0.000, change: 0.020
opt_iter: 55, opt_time: 60 (s), beta: 2, C: 18.859, V: 0.080, U: 0.000, change: 0.020
opt_iter: 56, opt_time: 60.5 (s), beta: 2, C: 18.621, V: 0.080, U: 0.000, change: 0.020
opt_iter: 57, opt_time: 60.9 (s), beta: 2, C: 18.413, V: 0.080, U: 0.000, change: 0.020
opt_iter: 58, opt_time: 60.6 (s), beta: 2, C: 18.229, V: 0.080, U: 0.000, change: 0.020
opt_iter: 59, opt_time: 61.1 (s), beta: 2, C: 18.065, V: 0.080, U: 0.000, change: 0.020
opt_iter: 60, opt_time: 61.3 (s), beta: 2, C: 17.919, V: 0.080, U: 0.000, change: 0.020
opt_iter: 61, opt_time: 61.5 (s), beta: 2, C: 17.788, V: 0.080, U: 0.000, change: 0.020
opt_iter: 62, opt_time: 61.8 (s), beta: 2, C: 17.669, V: 0.080, U: 0.000, change: 0.020
opt_iter: 63, opt_time: 62 (s), beta: 2, C: 17.561, V: 0.080, U: 0.000, change: 0.020
opt_iter: 64, opt_time: 61.9 (s), beta: 2, C: 17.461, V: 0.080, U: 0.000, change: 0.020
opt_iter: 65, opt_time: 62.3 (s), beta: 2, C: 17.370, V: 0.080, U: 0.000, change: 0.020
opt_iter: 66, opt_time: 62.4 (s), beta: 2, C: 17.286, V: 0.080, U: 0.000, change: 0.020
opt_iter: 67, opt_time: 62.3 (s), beta: 2, C: 17.209, V: 0.080, U: 0.000, change: 0.020
opt_iter: 68, opt_time: 62.5 (s), beta: 2, C: 17.137, V: 0.080, U: 0.000, change: 0.020
opt_iter: 69, opt_time: 62.7 (s), beta: 2, C: 17.071, V: 0.080, U: 0.000, change: 0.020
opt_iter: 70, opt_time: 62.8 (s), beta: 2, C: 17.009, V: 0.080, U: 0.000, change: 0.020
opt_iter: 71, opt_time: 62.7 (s), beta: 2, C: 16.951, V: 0.080, U: 0.000, change: 0.020
opt_iter: 72, opt_time: 62.6 (s), beta: 2, C: 16.898, V: 0.080, U: 0.000, change: 0.020
opt_iter: 73, opt_time: 62.9 (s), beta: 2, C: 16.848, V: 0.080, U: 0.000, change: 0.020
opt_iter: 74, opt_time: 63.1 (s), beta: 2, C: 16.802, V: 0.080, U: 0.000, change: 0.020
opt_iter: 75, opt_time: 63.1 (s), beta: 2, C: 16.759, V: 0.080, U: 0.000, change: 0.020
opt_iter: 76, opt_time: 62.9 (s), beta: 2, C: 16.719, V: 0.080, U: 0.000, change: 0.020
opt_iter: 77, opt_time: 63 (s), beta: 2, C: 16.683, V: 0.080, U: 0.000, change: 0.020
opt_iter: 78, opt_time: 63.4 (s), beta: 2, C: 16.649, V: 0.080, U: 0.000, change: 0.020
opt_iter: 79, opt_time: 63.3 (s), beta: 2, C: 16.618, V: 0.080, U: 0.000, change: 0.020
opt_iter: 80, opt_time: 63.5 (s), beta: 2, C: 16.590, V: 0.080, U: 0.000, change: 0.020
opt_iter: 81, opt_time: 63.5 (s), beta: 2, C: 16.565, V: 0.080, U: 0.000, change: 0.020
opt_iter: 82, opt_time: 63.3 (s), beta: 2, C: 16.542, V: 0.080, U: 0.000, change: 0.020
opt_iter: 83, opt_time: 63.5 (s), beta: 2, C: 16.521, V: 0.080, U: 0.000, change: 0.020
opt_iter: 84, opt_time: 63.4 (s), beta: 2, C: 16.503, V: 0.080, U: 0.000, change: 0.020
opt_iter: 85, opt_time: 63.5 (s), beta: 2, C: 16.485, V: 0.080, U: 0.000, change: 0.020
opt_iter: 86, opt_time: 63.3 (s), beta: 2, C: 16.469, V: 0.080, U: 0.000, change: 0.020
opt_iter: 87, opt_time: 63.5 (s), beta: 2, C: 16.454, V: 0.080, U: 0.000, change: 0.020
opt_iter: 88, opt_time: 63.4 (s), beta: 2, C: 16.440, V: 0.080, U: 0.000, change: 0.020
opt_iter: 89, opt_time: 63.5 (s), beta: 2, C: 16.427, V: 0.080, U: 0.000, change: 0.020
opt_iter: 90, opt_time: 63.5 (s), beta: 2, C: 16.415, V: 0.080, U: 0.000, change: 0.020
opt_iter: 91, opt_time: 63.8 (s), beta: 2, C: 16.403, V: 0.080, U: 0.000, change: 0.020
opt_iter: 92, opt_time: 63.8 (s), beta: 2, C: 16.392, V: 0.080, U: 0.000, change: 0.020
opt_iter: 93, opt_time: 63.7 (s), beta: 2, C: 16.382, V: 0.080, U: 0.000, change: 0.020
opt_iter: 94, opt_time: 63.6 (s), beta: 2, C: 16.373, V: 0.080, U: 0.000, change: 0.020
opt_iter: 95, opt_time: 64 (s), beta: 2, C: 16.364, V: 0.080, U: 0.000, change: 0.020
opt_iter: 96, opt_time: 63.7 (s), beta: 2, C: 16.355, V: 0.080, U: 0.000, change: 0.020
opt_iter: 97, opt_time: 63.7 (s), beta: 2, C: 16.347, V: 0.080, U: 0.000, change: 0.020
opt_iter: 98, opt_time: 63.9 (s), beta: 2, C: 16.339, V: 0.080, U: 0.000, change: 0.020
opt_iter: 99, opt_time: 63.6 (s), beta: 2, C: 16.332, V: 0.080, U: 0.000, change: 0.020
opt_iter: 100, opt_time: 77.3 (s), beta: 4, C: 19.068, V: 0.061, U: 0.000, change: 0.020
opt_iter: 101, opt_time: 76.7 (s), beta: 4, C: 17.663, V: 0.063, U: 0.000, change: 0.020
opt_iter: 102, opt_time: 70.8 (s), beta: 4, C: 16.060, V: 0.066, U: 0.000, change: 0.020
opt_iter: 103, opt_time: 68.5 (s), beta: 4, C: 14.490, V: 0.069, U: 0.000, change: 0.020
opt_iter: 104, opt_time: 67.3 (s), beta: 4, C: 13.061, V: 0.073, U: 0.000, change: 0.020
opt_iter: 105, opt_time: 71.1 (s), beta: 4, C: 11.787, V: 0.078, U: 0.000, change: 0.020
opt_iter: 106, opt_time: 71 (s), beta: 4, C: 11.106, V: 0.080, U: 0.000, change: 0.020
opt_iter: 107, opt_time: 71 (s), beta: 4, C: 10.967, V: 0.080, U: 0.000, change: 0.020
opt_iter: 108, opt_time: 71.3 (s), beta: 4, C: 10.848, V: 0.080, U: 0.000, change: 0.020
opt_iter: 109, opt_time: 70.8 (s), beta: 4, C: 10.746, V: 0.080, U: 0.000, change: 0.020
opt_iter: 110, opt_time: 71.2 (s), beta: 4, C: 10.656, V: 0.080, U: 0.000, change: 0.020
opt_iter: 111, opt_time: 71.1 (s), beta: 4, C: 10.576, V: 0.080, U: 0.000, change: 0.020
opt_iter: 112, opt_time: 71.1 (s), beta: 4, C: 10.506, V: 0.080, U: 0.000, change: 0.020
opt_iter: 113, opt_time: 71.1 (s), beta: 4, C: 10.442, V: 0.080, U: 0.000, change: 0.020
opt_iter: 114, opt_time: 71.2 (s), beta: 4, C: 10.385, V: 0.080, U: 0.000, change: 0.020
opt_iter: 115, opt_time: 71.1 (s), beta: 4, C: 10.333, V: 0.080, U: 0.000, change: 0.020
opt_iter: 116, opt_time: 71.1 (s), beta: 4, C: 10.286, V: 0.080, U: 0.000, change: 0.020
opt_iter: 117, opt_time: 71 (s), beta: 4, C: 10.243, V: 0.080, U: 0.000, change: 0.020
opt_iter: 118, opt_time: 71.3 (s), beta: 4, C: 10.204, V: 0.080, U: 0.000, change: 0.020
opt_iter: 119, opt_time: 71.5 (s), beta: 4, C: 10.168, V: 0.080, U: 0.000, change: 0.020
opt_iter: 120, opt_time: 71.4 (s), beta: 4, C: 10.135, V: 0.080, U: 0.000, change: 0.020
opt_iter: 121, opt_time: 71.4 (s), beta: 4, C: 10.104, V: 0.080, U: 0.000, change: 0.020
opt_iter: 122, opt_time: 71.5 (s), beta: 4, C: 10.076, V: 0.080, U: 0.000, change: 0.020
opt_iter: 123, opt_time: 71.4 (s), beta: 4, C: 10.050, V: 0.080, U: 0.000, change: 0.020
opt_iter: 124, opt_time: 71.2 (s), beta: 4, C: 10.026, V: 0.080, U: 0.000, change: 0.020
opt_iter: 125, opt_time: 71.2 (s), beta: 4, C: 10.004, V: 0.080, U: 0.000, change: 0.020
opt_iter: 126, opt_time: 71.3 (s), beta: 4, C: 9.983, V: 0.080, U: 0.000, change: 0.020
opt_iter: 127, opt_time: 71.2 (s), beta: 4, C: 9.963, V: 0.080, U: 0.000, change: 0.020
opt_iter: 128, opt_time: 71 (s), beta: 4, C: 9.945, V: 0.080, U: 0.000, change: 0.020
opt_iter: 129, opt_time: 71.4 (s), beta: 4, C: 9.928, V: 0.080, U: 0.000, change: 0.020
opt_iter: 130, opt_time: 71.3 (s), beta: 4, C: 9.912, V: 0.080, U: 0.000, change: 0.020
opt_iter: 131, opt_time: 70.9 (s), beta: 4, C: 9.896, V: 0.080, U: 0.000, change: 0.020
opt_iter: 132, opt_time: 71 (s), beta: 4, C: 9.882, V: 0.080, U: 0.000, change: 0.020
opt_iter: 133, opt_time: 70.8 (s), beta: 4, C: 9.869, V: 0.080, U: 0.000, change: 0.020
opt_iter: 134, opt_time: 70.7 (s), beta: 4, C: 9.856, V: 0.080, U: 0.000, change: 0.020
opt_iter: 135, opt_time: 70.8 (s), beta: 4, C: 9.844, V: 0.080, U: 0.000, change: 0.020
opt_iter: 136, opt_time: 70.7 (s), beta: 4, C: 9.833, V: 0.080, U: 0.000, change: 0.020
opt_iter: 137, opt_time: 71 (s), beta: 4, C: 9.822, V: 0.080, U: 0.000, change: 0.020
opt_iter: 138, opt_time: 71 (s), beta: 4, C: 9.812, V: 0.080, U: 0.000, change: 0.020
opt_iter: 139, opt_time: 70.7 (s), beta: 4, C: 9.802, V: 0.080, U: 0.000, change: 0.020
opt_iter: 140, opt_time: 72.4 (s), beta: 4, C: 9.793, V: 0.080, U: 0.000, change: 0.020
opt_iter: 141, opt_time: 71 (s), beta: 4, C: 9.784, V: 0.080, U: 0.000, change: 0.020
opt_iter: 142, opt_time: 70.9 (s), beta: 4, C: 9.776, V: 0.080, U: 0.000, change: 0.020
opt_iter: 143, opt_time: 70.9 (s), beta: 4, C: 9.769, V: 0.080, U: 0.000, change: 0.020
opt_iter: 144, opt_time: 71.3 (s), beta: 4, C: 9.761, V: 0.080, U: 0.000, change: 0.020
opt_iter: 145, opt_time: 70.9 (s), beta: 4, C: 9.755, V: 0.080, U: 0.000, change: 0.020
opt_iter: 146, opt_time: 71.3 (s), beta: 4, C: 9.749, V: 0.080, U: 0.000, change: 0.020
opt_iter: 147, opt_time: 71.1 (s), beta: 4, C: 9.743, V: 0.080, U: 0.000, change: 0.020
opt_iter: 148, opt_time: 71.1 (s), beta: 4, C: 9.738, V: 0.080, U: 0.000, change: 0.020
opt_iter: 149, opt_time: 71.4 (s), beta: 4, C: 9.733, V: 0.080, U: 0.000, change: 0.020
opt_iter: 150, opt_time: 82.6 (s), beta: 8, C: 7.942, V: 0.067, U: 0.000, change: 0.020
opt_iter: 151, opt_time: 78.4 (s), beta: 8, C: 7.266, V: 0.070, U: 0.000, change: 0.020
opt_iter: 152, opt_time: 77.3 (s), beta: 8, C: 6.591, V: 0.074, U: 0.000, change: 0.020
